"bid","devicePart","measure_time","server_record_time","temperature","humidity","room_temperature"
1000000157,1,1523202491,1523203120,25.74,56.94,21.49
1000000168,0,1523202502,1523203124,25.72,64.05,20.95
1000000158,1,1523202551,1523203120,25.74,54.09,21.57
1000000169,0,1523202562,1523203124,25.72,54.57,21.09
1000000159,1,1523202611,1523203120,25.74,54.63,21.95
1000000170,0,1523202622,1523203124,25.72,54.62,20.87
1000000160,1,1523202671,1523203120,27.22,61.28,24.3
1000000171,0,1523202682,1523203124,25.72,58.06,21.42
1000000161,1,1523202731,1523203120,29.16,52.51,28.14
1000000172,0,1523202742,1523203124,25.92,56.66,25.48
1000000162,1,1523202791,1523203120,27.74,48.92,27.85
1000000173,0,1523202802,1523203124,29.03,54.87,27.89
1000000163,1,1523202851,1523203120,30.16,56.16,29.39
1000000174,0,1523202862,1523203124,30.9,56.81,29.72
1000000164,1,1523202911,1523203120,30.9,56.81,30.35
1000000175,0,1523202922,1523203124,31.42,56.46,30.32
1000000165,1,1523202971,1523203120,31.32,56.83,30.89
1000000176,0,1523202982,1523203124,31.85,56.38,30.77
1000000166,1,1523203031,1523203120,31.69,56.81,31.28
1000000177,0,1523203042,1523203124,32.13,56.18,31.12
1000000167,1,1523203091,1523203120,31.99,56.93,31.65
1000000178,0,1523203102,1523203124,32.37,56.05,31.43
1000000201,1,1523203151,1523203780,32.26,57.07,31.96
1000000212,0,1523203162,1523203782,32.64,56.01,31.71
1000000202,1,1523203211,1523203780,32.45,56.9,32.2
1000000213,0,1523203222,1523203782,32.79,55.87,31.97
1000000203,1,1523203271,1523203780,32.6,56.59,32.42
1000000214,0,1523203282,1523203782,32.9,55.75,32.1
1000000204,1,1523203331,1523203780,32.78,56.38,32.55
1000000215,0,1523203342,1523203782,33.04,55.55,32.33
1000000205,1,1523203391,1523203780,32.94,56.13,32.7
1000000216,0,1523203402,1523203782,33.18,55.45,32.53
1000000206,1,1523203451,1523203780,33.07,56,32.86
1000000217,0,1523203462,1523203782,33.36,55.36,32.71
1000000207,1,1523203511,1523203780,33.17,55.84,33.01
1000000218,0,1523203522,1523203782,33.49,55.13,32.85
1000000208,1,1523203571,1523203780,33.28,55.66,33.11
1000000219,0,1523203582,1523203782,33.6,54.88,32.96
1000000209,1,1523203631,1523203780,33.36,55.46,33.16
1000000220,0,1523203642,1523203782,33.68,54.63,33.04
1000000210,1,1523203691,1523203780,33.44,55.29,33.25
1000000221,0,1523203702,1523203782,33.72,54.38,33.14
1000000211,1,1523203752,1523203780,33.53,55.19,33.34
1000000222,0,1523203762,1523203782,33.78,54.12,33.22
1000000245,1,1523203812,1523204442,33.62,55.13,33.44
1000000256,0,1523203822,1523204442,33.87,53.91,33.31
1000000246,1,1523203872,1523204442,33.7,55.1,33.52
1000000257,0,1523203882,1523204442,33.93,53.74,33.4
1000000247,1,1523203932,1523204442,33.76,55.07,33.59
1000000258,0,1523203942,1523204442,33.99,53.62,33.46
1000000248,1,1523203992,1523204442,33.83,54.97,33.67
1000000259,0,1523204002,1523204442,34.04,53.51,33.48
1000000249,1,1523204052,1523204442,33.91,54.8,33.72
1000000260,0,1523204062,1523204442,34.06,53.42,33.53
1000000250,1,1523204112,1523204442,33.98,54.66,33.77
1000000261,0,1523204122,1523204442,34.15,53.31,33.61
1000000251,1,1523204172,1523204442,34.03,54.59,33.85
1000000262,0,1523204182,1523204442,34.24,53.23,33.71
1000000252,1,1523204232,1523204442,34.08,54.5,33.85
1000000263,0,1523204242,1523204442,34.35,53.27,33.79
1000000253,1,1523204292,1523204442,34.12,54.41,33.85
1000000264,0,1523204302,1523204442,34.44,53.25,33.91
1000000254,1,1523204352,1523204442,34.15,54.33,33.85
1000000265,0,1523204362,1523204442,34.49,53.05,33.97
1000000255,1,1523204412,1523204442,34.17,54.12,33.85
1000000266,0,1523204422,1523204442,34.54,52.9,34.01
1000000289,1,1523204472,1523205101,34.16,54.23,33.87
1000000300,0,1523204482,1523205101,34.6,52.82,34.09
1000000290,1,1523204532,1523205101,34.19,54.47,33.97
1000000301,0,1523204542,1523205101,34.65,52.78,34.15
1000000291,1,1523204592,1523205101,34.26,54.65,34.09
1000000302,0,1523204602,1523205101,34.71,52.73,34.2
1000000292,1,1523204652,1523205101,34.34,54.92,34.23
1000000303,0,1523204662,1523205101,34.75,52.65,34.26
1000000293,1,1523204712,1523205101,34.41,55.15,34.35
1000000304,0,1523204722,1523205101,34.79,52.58,34.29
1000000294,1,1523204772,1523205101,34.48,55.37,34.47
1000000305,0,1523204782,1523205101,34.83,52.53,34.33
1000000295,1,1523204832,1523205101,34.54,55.65,34.56
1000000306,0,1523204842,1523205101,34.87,52.49,34.37
1000000296,1,1523204892,1523205101,34.62,55.83,34.65
1000000307,0,1523204902,1523205101,34.89,52.4,34.37
1000000297,1,1523204952,1523205101,34.69,55.9,34.73
1000000308,0,1523204962,1523205101,34.91,52.4,34.42
1000000298,1,1523205012,1523205101,34.75,55.85,34.73
1000000309,0,1523205022,1523205101,34.95,52.36,34.46
1000000299,1,1523205072,1523205101,34.79,55.73,34.73
1000000310,0,1523205082,1523205101,34.98,52.36,34.47
1000000333,1,1523205132,1523205762,34.83,55.58,34.73
1000000344,0,1523205142,1523205764,34.99,52.3,34.54
1000000334,1,1523205192,1523205762,34.83,55.41,34.73
1000000345,0,1523205202,1523205764,35.02,52.4,34.6
1000000335,1,1523205252,1523205762,34.84,55.29,34.73
1000000346,0,1523205262,1523205764,35.07,52.4,34.67
1000000336,1,1523205312,1523205762,34.86,55.23,34.73
1000000347,0,1523205322,1523205764,35.11,52.39,34.71
1000000337,1,1523205372,1523205762,34.88,55.16,34.81
1000000348,0,1523205382,1523205764,35.13,52.33,34.8
1000000338,1,1523205432,1523205762,34.9,55.1,34.81
1000000349,0,1523205442,1523205764,35.15,52.27,34.81
1000000339,1,1523205492,1523205762,34.92,55.03,34.81
1000000350,0,1523205502,1523205764,35.16,52.19,34.85
1000000340,1,1523205552,1523205762,34.94,54.99,34.86
1000000351,0,1523205562,1523205764,35.17,52.05,34.9
1000000341,1,1523205612,1523205762,34.95,54.95,34.9
1000000352,0,1523205622,1523205764,35.18,51.93,34.9
1000000342,1,1523205672,1523205762,34.96,54.88,34.9
1000000353,0,1523205682,1523205764,35.17,51.75,34.9
1000000343,1,1523205732,1523205762,34.97,54.68,34.9
1000000354,0,1523205742,1523205764,35.15,51.59,34.84
1000000381,1,1523205792,1523206421,34.97,54.4,34.9
1000000392,0,1523205802,1523206422,35.14,51.56,34.81
1000000382,1,1523205852,1523206421,34.96,54.08,34.81
1000000393,0,1523205862,1523206422,35.14,51.54,34.81
1000000383,1,1523205912,1523206421,34.95,53.89,34.81
1000000394,0,1523205922,1523206422,35.14,51.53,34.81
1000000384,1,1523205972,1523206421,34.96,53.81,34.81
1000000395,0,1523205982,1523206422,35.15,51.39,34.81
1000000385,1,1523206032,1523206421,34.95,53.65,34.73
1000000396,0,1523206042,1523206422,35.15,51.08,34.81
1000000386,1,1523206092,1523206421,34.94,53.42,34.73
1000000397,0,1523206102,1523206422,35.13,50.81,34.71
1000000387,1,1523206152,1523206421,34.96,53.32,34.73
1000000398,0,1523206162,1523206422,35.12,50.77,34.71
1000000388,1,1523206212,1523206421,34.98,53.25,34.8
1000000399,0,1523206222,1523206422,35.12,50.77,34.71
1000000389,1,1523206272,1523206421,34.99,53.24,34.81
1000000400,0,1523206282,1523206422,35.13,50.73,34.71
1000000390,1,1523206332,1523206421,34.99,53.2,34.81
1000000401,0,1523206342,1523206422,35.15,50.67,34.71
1000000391,1,1523206392,1523206421,35,53.21,34.85
1000000402,0,1523206402,1523206422,35.15,50.63,34.71
1000000437,1,1523206452,1523207082,35.02,53.23,34.9
1000000426,0,1523206462,1523207081,35.17,50.63,34.71
1000000438,1,1523206512,1523207082,35.04,53.23,34.9
1000000427,0,1523206522,1523207081,35.18,50.63,34.71
1000000439,1,1523206572,1523207082,35.05,53.23,34.9
1000000428,0,1523206582,1523207081,35.19,50.63,34.78
1000000440,1,1523206632,1523207082,35.04,54.58,34.9
1000000429,0,1523206642,1523207081,35.18,50.58,34.71
1000000441,1,1523206692,1523207082,34.98,57.83,34.85
1000000430,0,1523206702,1523207081,35.07,50.53,34.66
1000000442,1,1523206752,1523207082,34.94,56.65,34.73
1000000431,0,1523206762,1523207081,35.02,50.56,34.63
1000000443,1,1523206812,1523207082,34.94,54.51,34.73
1000000432,0,1523206822,1523207081,35.05,50.62,34.65
1000000444,1,1523206872,1523207082,34.87,53.76,34.64
1000000433,0,1523206882,1523207081,35.08,50.67,34.67
1000000445,1,1523206932,1523207082,34.88,53.27,34.68
1000000434,0,1523206942,1523207081,35.09,50.9,34.71
1000000446,1,1523206992,1523207082,34.91,54.3,34.73
1000000435,0,1523207002,1523207081,35.13,51.11,34.71
1000000447,1,1523207052,1523207082,34.89,58.07,34.71
1000000436,0,1523207062,1523207081,35.16,51.25,34.71
1000000470,1,1523207112,1523207742,34.87,54.69,34.64
1000000481,0,1523207122,1523207742,35.18,51.41,34.71
1000000471,1,1523207172,1523207742,34.88,53.8,34.64
1000000482,0,1523207182,1523207742,35.19,51.5,34.71
1000000472,1,1523207232,1523207742,34.84,52.53,34.68
1000000483,0,1523207242,1523207742,35.2,51.57,34.77
1000000473,1,1523207292,1523207742,34.75,50.87,34.64
1000000484,0,1523207302,1523207742,35.21,51.65,34.81
1000000474,1,1523207352,1523207742,34.74,50.7,34.64
1000000485,0,1523207362,1523207742,35.22,51.79,34.83
1000000475,1,1523207412,1523207742,34.76,50.7,34.69
1000000486,0,1523207422,1523207742,35.23,51.85,34.9
1000000476,1,1523207472,1523207742,34.78,50.76,34.73
1000000487,0,1523207482,1523207742,35.24,51.88,34.9
1000000477,1,1523207532,1523207742,34.79,50.81,34.73
1000000488,0,1523207542,1523207742,35.26,51.95,34.9
1000000478,1,1523207592,1523207742,34.81,50.88,34.73
1000000489,0,1523207602,1523207742,35.28,52.01,34.9
1000000479,1,1523207652,1523207742,34.83,50.92,34.76
1000000490,0,1523207662,1523207742,35.29,52.02,34.9
1000000480,1,1523207712,1523207742,34.89,51.72,34.83
1000000491,0,1523207722,1523207742,35.31,52.13,34.98
1000000525,1,1523207772,1523208403,34.99,52.98,35.03
1000000514,0,1523207782,1523208402,35.31,52.23,34.98
1000000526,1,1523207832,1523208403,35.09,53.19,35.16
1000000515,0,1523207842,1523208402,35.3,52.35,34.98
1000000527,1,1523207892,1523208403,35.17,53.17,35.25
1000000516,0,1523207902,1523208402,35.34,52.43,35.06
1000000528,1,1523207952,1523208403,35.21,53.23,35.28
1000000517,0,1523207962,1523208402,35.38,52.45,35.15
1000000529,1,1523208012,1523208403,35.25,53.29,35.34
1000000518,0,1523208022,1523208402,35.41,52.5,35.19
1000000530,1,1523208072,1523208403,35.28,53.23,35.34
1000000519,0,1523208082,1523208402,35.45,52.56,35.24
1000000531,1,1523208132,1523208403,35.3,53.17,35.34
1000000520,0,1523208142,1523208402,35.47,52.56,35.28
1000000532,1,1523208192,1523208403,35.31,53.13,35.35
1000000521,0,1523208202,1523208402,35.49,52.56,35.33
1000000533,1,1523208252,1523208403,35.33,53.06,35.42
1000000522,0,1523208262,1523208402,35.52,52.56,35.33
1000000534,1,1523208312,1523208403,35.34,53,35.42
1000000523,0,1523208322,1523208402,35.54,52.56,35.42
1000000535,1,1523208372,1523208403,35.35,52.94,35.42
1000000524,0,1523208382,1523208402,35.55,52.53,35.42
1000000569,1,1523208432,1523209065,35.36,52.9,35.42
1000000558,0,1523208442,1523209061,35.57,52.5,35.42
1000000570,1,1523208492,1523209065,35.37,52.83,35.42
1000000559,0,1523208502,1523209061,35.58,52.5,35.44
1000000571,1,1523208552,1523209065,35.38,52.78,35.42
1000000560,0,1523208562,1523209061,35.6,52.48,35.51
1000000572,1,1523208612,1523209065,35.39,52.71,35.42
1000000561,0,1523208622,1523209061,35.61,52.44,35.51
1000000573,1,1523208672,1523209065,35.4,52.65,35.42
1000000562,0,1523208682,1523209061,35.62,52.43,35.51
1000000574,1,1523208732,1523209065,35.41,52.61,35.44
1000000563,0,1523208742,1523209061,35.63,52.38,35.51
1000000575,1,1523208792,1523209065,35.42,52.55,35.51
1000000564,0,1523208802,1523209061,35.65,52.36,35.51
1000000576,1,1523208852,1523209065,35.43,52.49,35.51
1000000565,0,1523208862,1523209061,35.66,52.36,35.59
1000000577,1,1523208912,1523209065,35.44,52.44,35.51
1000000566,0,1523208922,1523209061,35.66,52.36,35.59
1000000578,1,1523208972,1523209065,35.45,52.38,35.51
1000000567,0,1523208982,1523209061,35.67,52.27,35.59
1000000579,1,1523209032,1523209065,35.46,52.33,35.51
1000000568,0,1523209042,1523209061,35.68,52.24,35.59
1000001705,1,1523209092,1523231601,35.47,52.27,35.51
1000000602,0,1523209102,1523209723,35.69,52.2,35.59
1000001706,1,1523209152,1523231601,35.47,52.21,35.51
1000000603,0,1523209162,1523209723,35.7,52.2,35.59
1000001707,1,1523209212,1523231601,35.48,52.12,35.51
1000000604,0,1523209222,1523209723,35.71,52.2,35.59
1000001708,1,1523209272,1523231601,35.48,52.11,35.51
1000000605,0,1523209282,1523209723,35.72,52.13,35.68
1000001709,1,1523209332,1523231601,35.48,52.11,35.51
1000000606,0,1523209342,1523209723,35.73,52.02,35.68
1000001710,1,1523209392,1523231601,35.52,52.43,35.63
1000000607,0,1523209402,1523209723,35.74,52.03,35.68
1000001711,1,1523209452,1523231601,35.58,52.72,35.72
1000000608,0,1523209462,1523209723,35.78,52.15,35.77
1000001712,1,1523209512,1523231601,35.64,53.01,35.81
1000000609,0,1523209522,1523209723,35.81,52.29,35.77
1000001713,1,1523209572,1523231601,35.68,53.27,35.85
1000000610,0,1523209582,1523209723,35.84,52.44,35.85
1000001714,1,1523209632,1523231601,35.72,53.57,35.92
1000000611,0,1523209642,1523209723,35.86,52.55,35.85
1000001715,1,1523209692,1523231601,35.76,53.86,35.94
1000000612,0,1523209702,1523209723,35.88,52.72,35.94
1000001716,1,1523209752,1523231601,35.79,54.1,36.02
1000000631,0,1523209762,1523210389,35.89,52.82,35.95
1000001717,1,1523209812,1523231601,35.81,54.35,36.02
1000000632,0,1523209822,1523210389,35.9,52.9,35.95
1000001718,1,1523209872,1523231601,35.83,54.59,36.02
1000000633,0,1523209882,1523210389,35.91,52.99,35.95
1000001719,1,1523209932,1523231601,35.86,54.84,36.1
1000000634,0,1523209942,1523210389,35.92,53.05,35.95
1000001720,1,1523209992,1523231601,35.87,55.03,36.11
1000000635,0,1523210002,1523210389,35.93,53.12,35.99
1000001721,1,1523210052,1523231601,35.89,55.26,36.11
1000000636,0,1523210062,1523210389,35.93,53.2,36.03
1000001722,1,1523210112,1523231601,35.9,55.49,36.11
1000000637,0,1523210122,1523210389,35.94,53.25,36.03
1000001723,1,1523210172,1523231601,35.91,55.71,36.11
1000000638,0,1523210182,1523210389,35.95,53.3,36.03
1000001724,1,1523210232,1523231601,35.92,55.93,36.18
1000000639,0,1523210242,1523210389,35.95,53.34,36.03
1000001725,1,1523210292,1523231601,35.93,56.14,36.19
1000000640,0,1523210302,1523210389,35.96,53.39,36.03
1000001726,1,1523210352,1523231601,35.94,56.38,36.19
1000000641,0,1523210362,1523210389,35.96,53.47,36.03
1000001727,1,1523210412,1523231601,35.95,56.59,36.19
1000001405,0,1523210422,1523231596,35.97,53.49,36.03
1000001728,1,1523210472,1523231601,35.95,56.82,36.19
1000001406,0,1523210482,1523231596,35.97,53.55,36.03
1000001729,1,1523210532,1523231601,35.96,57.03,36.19
1000001407,0,1523210542,1523231596,35.98,53.57,36.03
1000001730,1,1523210592,1523231601,35.97,57.26,36.19
1000001408,0,1523210602,1523231596,35.98,53.61,36.03
1000001731,1,1523210652,1523231601,35.97,57.45,36.19
1000001409,0,1523210662,1523231596,35.99,53.61,36.03
1000001732,1,1523210712,1523231601,35.98,57.63,36.19
1000001410,0,1523210722,1523231596,35.99,53.67,36.03
1000001733,1,1523210772,1523231601,35.98,57.82,36.19
1000001411,0,1523210782,1523231596,35.99,53.67,36.03
1000001734,1,1523210832,1523231601,35.99,58,36.19
1000001412,0,1523210842,1523231596,36,53.72,36.08
1000001735,1,1523210892,1523231601,35.99,58.19,36.19
1000001413,0,1523210902,1523231596,36,53.91,36.12
1000001736,1,1523210952,1523231601,36,58.37,36.19
1000001414,0,1523210962,1523231596,36.01,53.9,36.12
1000001737,1,1523211012,1523231601,35.97,58.35,36.19
1000001415,0,1523211022,1523231596,35.99,53.6,36.03
1000001738,1,1523211072,1523231601,35.91,57.91,36.11
1000001416,0,1523211082,1523231596,35.96,53.55,36.03
1000001739,1,1523211132,1523231601,35.86,57.65,36.02
1000001417,0,1523211142,1523231596,35.92,53.89,36
1000001740,1,1523211192,1523231601,35.84,58.19,35.98
1000001418,0,1523211202,1523231596,35.9,53.93,35.95
1000001741,1,1523211252,1523231601,35.83,58.25,35.94
1000001419,0,1523211262,1523231596,35.89,53.64,35.95
1000001742,1,1523211312,1523231601,35.82,57.64,35.94
1000001420,0,1523211322,1523231596,35.87,53.39,35.92
1000001743,1,1523211372,1523231601,35.82,57.3,35.94
1000001421,0,1523211382,1523231596,35.86,53.15,35.85
1000001744,1,1523211432,1523231601,35.82,57.05,35.94
1000001422,0,1523211442,1523231596,35.85,53,35.85
1000001745,1,1523211492,1523231601,35.82,56.84,35.9
1000001423,0,1523211502,1523231596,35.84,52.93,35.81
1000001746,1,1523211552,1523231601,35.82,56.62,35.85
1000001424,0,1523211562,1523231596,35.83,52.84,35.77
1000001747,1,1523211612,1523231601,35.81,56.4,35.85
1000001425,0,1523211622,1523231596,35.82,52.75,35.77
1000001748,1,1523211672,1523231601,35.81,56.19,35.85
1000001426,0,1523211682,1523231596,35.82,52.7,35.77
1000001749,1,1523211732,1523231601,35.81,56.02,35.85
1000001427,0,1523211742,1523231596,35.81,52.62,35.77
1000001750,1,1523211792,1523231601,35.81,55.87,35.85
1000001428,0,1523211802,1523231596,35.8,52.57,35.77
1000001751,1,1523211852,1523231601,35.81,55.71,35.85
1000001429,0,1523211862,1523231596,35.8,52.53,35.77
1000001752,1,1523211912,1523231601,35.82,55.58,35.85
1000001430,0,1523211922,1523231596,35.8,52.53,35.77
1000001753,1,1523211972,1523231601,35.81,55.45,35.85
1000001431,0,1523211982,1523231596,35.81,52.79,35.77
1000001754,1,1523212032,1523231601,35.79,55.29,35.85
1000001432,0,1523212043,1523231596,35.83,52.99,35.77
1000001755,1,1523212092,1523231601,35.77,55.12,35.85
1000001433,0,1523212103,1523231596,35.83,53.17,35.77
1000001756,1,1523212152,1523231601,35.76,54.93,35.85
1000001434,0,1523212163,1523231596,35.83,53.3,35.77
1000001757,1,1523212212,1523231601,35.75,54.84,35.85
1000001435,0,1523212223,1523231596,35.84,53.43,35.77
1000001758,1,1523212272,1523231601,35.76,54.76,35.85
1000001436,0,1523212283,1523231596,35.84,53.53,35.79
1000001759,1,1523212332,1523231601,35.8,54.9,35.86
